year,n_pix,rural_p10,rural_p25,rural_p50,region_mean,vand_basin,B_central,B_lo,B_hi,increment,increment_frac_pct
2019,8100,16.55285358428955,17.751569747924805,18.83811092376709,19.270376803315717,19.661375045776367,16.55285358428955,10.5,17.751569747924805,3.1085214614868164,15.8
2020,8100,16.19461860656738,16.905388355255127,17.555021286010742,17.476932578616672,19.018836975097656,16.19461860656738,10.5,16.905388355255127,2.824218368530275,14.8
2021,8100,15.587498188018799,15.990771293640137,16.41484832763672,16.428458650612537,16.997575759887695,15.587498188018799,10.5,15.990771293640137,1.4100775718688965,8.3
2022,8100,17.70781307220459,18.301034450531006,18.902753829956055,18.910640439516232,18.650859832763672,17.70781307220459,10.5,18.301034450531006,0.9430467605590813,5.1
2023,8100,18.56876564025879,19.06352186203003,19.943116188049316,19.96694389814212,20.932823181152344,18.56876564025879,10.5,19.06352186203003,2.3640575408935547,11.3
