year,basin_mean,nifs,city,akurana_fect,hantana_fect,beta,L_corrected
2015,19.338998794555664,20.80482292175293,20.75578498840332,19.189180374145508,19.939393997192383,1.0,19.338998794555664
2016,21.962182998657227,24.151926040649414,23.954017639160156,22.265226364135742,22.52402687072754,1.0,21.962182998657227
2017,21.189939498901367,22.299043655395508,22.461166381835938,22.134302139282227,20.771875381469727,1.0,21.189939498901367
2018,24.71269416809082,26.16457176208496,26.82761573791504,25.395980834960938,24.426748275756836,1.0,24.71269416809082
2019,19.661375045776367,21.880014419555664,21.828445434570312,19.086816787719727,20.33367347717285,1.0,19.661375045776367
2020,19.018836975097656,20.51503562927246,20.566186904907227,19.0156192779541,19.059823989868164,1.0,19.018836975097656
2021,16.997575759887695,18.71082878112793,18.703508377075195,16.762102127075195,17.175676345825195,1.0,16.997575759887695
2022,18.650859832763672,20.104278564453125,20.215688705444336,18.79752540588379,18.515836715698242,1.0,18.650859832763672
2023,20.932823181152344,22.87428092956543,22.42035484313965,20.11561393737793,21.617637634277344,1.0,20.932823181152344
